"Census.Tract","Tax.Period","totalOwedByTract"
151,2003,12420.04
151,2004,12748.93
151,2005,14680.91
151,2006,11171.78
151,2007,10298.29
151,2008,13924.59
151,2009,14448.1
151,2010,14813.15
151,2011,18585.15
151,2012,19732.9
151,2013,18913.99
151,2014,38588.32
151,2015,41360.35
152,2000,6372.42
152,2001,12570.32
152,2002,7534.22
152,2003,8788.39
152,2004,7822.83
152,2005,7522.37
152,2006,6462.42
152,2007,8616.46
152,2008,9275.05
152,2009,10375.36
152,2010,9562.16
152,2011,10758.6
152,2012,11431.4
152,2013,11545.12
152,2014,38977.99
152,2015,40174.62
153,2000,98.36
153,2001,98.36
153,2002,98.36
153,2003,114.78
153,2004,114.78
153,2005,114.78
153,2006,24.71
153,2007,370.9
153,2008,1023.32
153,2009,2882.66
153,2010,8780.75
153,2011,8737.69
153,2012,8710.85
153,2013,8654.19
153,2014,35204.08
153,2015,48003.12
154,2014,183.97
154,2015,1034.88
155,2000,2070.42
155,2001,2202.06
155,2002,2701.83
155,2003,2051.54
155,2004,1976.23
155,2005,1900.91
155,2006,1931.82
155,2007,2331.9
155,2008,3516.28
155,2009,2892.8
155,2010,2941.63
155,2011,3152.7
155,2012,3327.4
155,2013,3486.72
155,2014,14719.35
155,2015,18966.66
156,2000,7171.49
156,2001,6373.57
156,2002,5880.74
156,2003,5690.88
156,2004,5501.11
156,2005,5311.21
156,2006,5121.24
156,2007,5548.22
156,2008,5854.24
156,2009,5610.03
156,2010,5801.83
156,2011,6236.45
156,2012,6504.79
156,2013,7732.79
156,2014,12136.81
156,2015,15810.9
157,2000,1248.23
157,2001,695.94
157,2002,668.72
157,2003,641.49
157,2004,614.27
157,2005,587.06
157,2006,559.85
157,2007,611.09
157,2008,1247.98
157,2009,2389.88
157,2010,2480.06
157,2011,6810.35
157,2012,12273.74
157,2013,12810.46
157,2014,61779.43
157,2015,68109.14
158,2010,320
158,2015,827.35
159,2008,347.62
159,2009,141.23
159,2010,134.85
159,2011,139.09
159,2012,136.34
159,2013,132.93
159,2014,1294.67
159,2015,4103.97
160,2000,152.9
160,2001,149.65
160,2002,141.58
160,2003,133.5
160,2004,245.49
160,2005,228.42
160,2006,210.66
160,2007,194.59
160,2008,189.17
160,2009,1296
160,2010,1921.87
160,2011,1701.83
160,2012,1782.73
160,2013,1555.4
160,2014,5261.98
160,2015,12814.4
161,2000,5946.7
161,2001,5451.15
161,2002,5402.06
161,2003,5424.84
161,2004,5162.31
161,2005,5154.57
161,2006,4284.25
161,2007,4948.45
161,2008,4931.61
161,2009,4691.29
161,2010,4344.44
161,2011,4748.93
161,2012,4793.83
161,2013,4348.44
