"","InvestorDelinquentTaxTotal","PctUnderPoverty","MedianHouseholdIncome","TotalVacancyRate","MedianRent","RentAsPctOfIncome"
"42101032900",3629.55,16.1,31250,"15.8","857","58"
"42101033000",7310.19,16.4,38670,"10.0","1103","120"
"42101033102",1412.2,20.1,45603,"7.8","869","46"
"42101033702",876.6,7.3,52394,"5.5","913","18"
"42101034502",222.32,12.8,40479,"8.4","942","47"
"42101034600",619.03,13.5,33981,"6.4","885","0"
"42101034802",2733.14,6.1,52383,"5.3","955","142"
"42101034900",4836.45,29.6,37923,"5.2","950","18"
"42101035100",1831.63,2.3,45536,"9.7","1158","42"
"42101035701",266.7,14.7,38237,"5.7","865","27"
"42101036400",17498.91,91.2,NA,"0.0","","0"
"42101036501",1927.54,12.5,47960,"5.1","937","42"
"42101036700",6276.12,11.8,67875,"9.0","1652","2"
"42101037200",12991.26,8.3,43154,"9.2","940","61"
"42101037700",12038.98,57.4,13003,"30.1","696","70"
"42101037800",800.54,17.2,37135,"14.2","941","39"
"42101037900",381.61,18.8,37753,"14.4","993","72"
"42101038000",8947.2,23.1,37702,"16.6","807","14"
"42101038200",6198.73,44.3,23413,"10.3","881","25"
"42101038300",11794.98,46.3,21902,"10.1","888","86"
"42101038800",2215.04,10.9,73194,"6.1","877","19"
"42101039000",13738.96,24.7,35036,"9.5","848","80"
